Current Attendence Sheet Data of ENG12513  |  All Type


-,2019-08-19-11:00:00-Lect-1H-ng,2019-08-20-08:00:00-Lect-2H-ng,2019-12-10-09:00:00-Lect-1H-ng,2019-12-12-10:00:00-Lect-1H-ng,2019-12-17-16:00:00-Lect-1H-ng,2019-12-19-10:00:00-Lect-1H-ng,2019-12-31-09:00:00-Lect-1H-ng,2019-12-31-15:00:00-Lect-1H-ng,2020-01-07-08:00:00-Lect-1H-ng,2020-01-07-08:00:00-Lect-1H-ng,2020-01-07-16:00:00-Lect-1H-ng,2020-01-08-15:00:00-Lect-1H-ng,2020-01-14-08:00:00-Lect-1H-ng,2020-01-16-10:00:00-Lect-1H-ng,2020-01-21-08:00:00-Lect-2H-ng,2020-01-27-14:00:00-Lect-1H-ng,2020-01-28-08:00:00-Lect-2H-ng,2020-02-11-08:00:00-Lect-2H-ng,2020-02-11-16:00:00-Lect-1H-ng,2020-02-13-14:00:00-Lect-2H-ng,2020-02-18-08:00:00-Lect-2H-ng,2020-02-20-10:00:00-Lect-2H-ng,%
HS/2018/16960,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/17083,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/17088,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2018/17090,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,83 %,
HS/2018/17094,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2018/17096,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2018/17098,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,83 %,
HS/2018/17099,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2018/17115,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/17116,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2018/17117,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,90 %,
Total,11,11,1,5,11,11,10,10,11,11,9,8,11,11,11,10,11,11,11,11,10,11,