Current Attendence Sheet Data of STS12513  |  All Type


-,2019-08-01-08:00:00-Lect-2H-ng,2019-08-07-09:00:00-Lect-1H-ng,2019-08-08-14:00:00-Lect-1H-ng,2019-08-08-17:00:00-Lect-1H-ng,2019-08-15-14:00:00-Lect-1H-ng,2019-08-15-17:00:00-Lect-1H-ng,2019-08-21-09:00:00-Lect-2H-ng,2019-08-22-14:00:00-Lect-1H-ng,2019-08-22-17:00:00-Lect-1H-ng,2019-12-12-17:00:00-Lect-1H-ng,2019-12-18-09:00:00-Lect-1H-ng,2019-12-19-14:00:00-Lect-1H-ng,2019-12-19-17:00:00-Lect-1H-ng,2020-01-01-08:00:00-Lect-2H-ng,2020-01-02-14:00:00-Lect-1H-ng,2020-01-08-08:00:00-Lect-2H-ng,2020-01-09-14:00:00-Lect-1H-ng,2020-01-16-14:00:00-Lect-1H-ng,2020-01-22-08:00:00-Assi-2H-ng,2020-01-23-14:00:00-Lect-1H-ng,2020-01-29-08:00:00-Lect-2H-ng,2020-01-30-14:00:00-Lect-1H-ng,2020-02-05-08:00:00-Lect-2H-ng,2020-02-06-14:00:00-Lect-1H-ng,2020-02-12-08:00:00-Lect-2H-ng,2020-02-13-14:00:00-Lect-1H-ng,2020-02-19-08:00:00-Lect-1H-ng,2020-02-19-09:00:00-Assi-1H-ng,2020-02-20-14:00:00-Lect-1H-ng,%
HS/2018/16637,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,89 %,
HS/2018/16648,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,95 %,
HS/2018/16652,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,89 %,
HS/2018/16698,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,89 %,
HS/2018/16710,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,89 %,
HS/2018/16723,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,89 %,
HS/2018/16730,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,73 %,
HS/2018/16748,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,70 %,
HS/2018/16755,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,95 %,
HS/2018/16764,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,84 %,
HS/2018/16811,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,86 %,
HS/2018/16828,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,95 %,
HS/2018/16830,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,89 %,
HS/2018/16850,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,95 %,
HS/2018/16869,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,89 %,
HS/2018/16878,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,76 %,
HS/2018/16879,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,84 %,
HS/2018/16885,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,86 %,
HS/2018/16932,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2018/16938,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,89 %,
HS/2018/16958,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,89 %,
HS/2018/16979,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,81 %,
HS/2018/16990,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,84 %,
HS/2018/16995,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,92 %,
HS/2018/17047,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,84 %,
HS/2018/17072,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,95 %,
HS/2018/17087,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,81 %,
Total,22,21,26,26,27,26,27,23,3,21,27,26,26,24,24,24,22,22,27,26,25,14,24,24,25,24,27,27,14,